id,name,street,city,state,zip
1,A D R Financial Service,1260 Glenwood Ave Se,Atlanta,GA,30316
2,A Payday Advance,1260 Glenwood Ave Se,Atlanta,GA,30316
3,Abc Check Cashing Inc,3253 Buford Highway Northeast Suite 760,Atlanta,GA,30329
4,ACE Cash Express,6635 Highway 85,Atlanta,GA,30303
5,ACE Cash Express,863 Oak St Sw,Atlanta,GA,30310
6,ACE Cash Express,8763 Dunwoody Place,Atlanta,GA,30350
7,ACE Cash Express,5659 Riverdale Road,Atlanta,GA,30349
8,ACE Cash Express,233 Peachtree Street Northeast,Atlanta,GA,30303
9,ACE Cash Express,2841 Greenbriar Parkway Southwest,Atlanta,GA,30331
10,ACE Cash Express,4058 Peachtree Road Northeast,Atlanta,GA,30319
11,ACE Cash Express,3714 Roswell Road Northeast,Atlanta,GA,30342
12,ACE Cash Express,2581 Piedmont Road Northeast Suite A800,Atlanta,GA,30324
13,ACE Cash Express,461 Ponce De Leon Avenue Northeast,Atlanta,GA,30308
14,ACE Cash Express,2261 Cheshire Bridge Road Northeast,Atlanta,GA,30324
15,ACE Cash Express,381 Moreland Avenue Southeast,Atlanta,GA,30316
16,ACE Cash Express,495 Whitehall Street Southwest Suite C,Atlanta,GA,30303
17,ACE Cash Express,3583 Mrtn Lthr Kng Jr Drive,Atlanta,GA,30331
18,ACE Cash Express,3583 Mlk B,Atlanta,GA,30303
19,ACE Cash Express,5513 Pechtre Indstrl Boulevard # B,Atlanta,GA,30341
20,ACE Cash Express,5659 Riverdale Road,Atlanta,GA,30349
21,ACE Cash Express,5190 Old National Highway Suite A,Atlanta,GA,30349
22,ACE Cash Express,2798 Camp Creek Parkway,Atlanta,GA,30337
23,ACE Cash Express,4801 Memorial Drive,Atlanta,GA,30303
24,ACE Cash Express,4065 Memorial Drive,Atlanta,GA,30303
25,ACE Cash Express,3570 Memorial Drive,Atlanta,GA,30303
26,ACE Cash Express,1618 Willingham Drive,Atlanta,GA,30344
27,ACE Cash Express,4703 Jonesboro Road,Atlanta,GA,30303
28,ACE Cash Express,904 Thornton Road,Atlanta,GA,30303
29,ACE Cash Express,277 Marietta Street Northwest # A,Atlanta,GA,30313
30,ACE Cash Express,6635 Highway 85,Atlanta,GA,30303
31,ACE Cash Express,7512 Georgia Highway 85,Atlanta,GA,30303
32,ACE Cash Express,2697 Spring Road,Atlanta,GA,30303
33,ACE Cash Express,1030-3 Windy Hill Road,Atlanta,GA,30303
34,ACE Cash Express,3714 Roswell Rd Ne,Atlanta,GA,30342
35,ACE Cash Express,5659 Riverdale Rd,Atlanta,GA,30349
36,ACE Cash Express,4058 Peachtree Rd Ne,Atlanta,GA,30319
37,ACE Cash Express,2841 Greenbriar Pkwy Sw,Atlanta,GA,30331
38,ACE Cash Express,3583 Martin Luther King Jr Dr,Atlanta,GA,30331
39,ACE Cash Express,2798 Camp Creek Pkwy,Atlanta,GA,30337
40,ACE Cash Express,3714 Roswell Rd Ne Ste A,Atlanta,GA,30342
41,ACE Cash Express,1618 Willingham Dr,Atlanta,GA,30344
42,ACE Cash Express,381 Moreland Ave Se,Atlanta,GA,30316
43,ACE Cash Express,5190 Old National Hwy,Atlanta,GA,30349
44,ACE Cash Express,8763 Dunwoody Pl,Atlanta,GA,30350
45,Ach Inc,Atlanta,Atlanta,GA,30303
46,Advance America,6085 Old National Highway,Atlanta,GA,30349
47,Advance America,56 Marietta St Nw,Atlanta,GA,30303
48,Advanced Payment Technologies,4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338
49,Alabama Checkcashers Inc,3304 Buford Hwy Ne Ste A,Atlanta,GA,30329
50,All Checks Cashed,801 Jackson Pkwy Nw,Atlanta,GA,30318
51,All Checks Cashed,495 Moreland Avenue,Atlanta,GA,30316
52,All Checks Cashed,12 Peachtree St # 2,Atlanta,GA,30303
53,All Checks Cashed,801 James Jackson Pkwy Nw,Atlanta,GA,30318
54,All Checks Cashed,876 Cleveland Ave,Atlanta,GA,30344
55,All Checks Cashed - Store 01,585 Memorial Drive Southeast,Atlanta,GA,30312
56,All Checks Cashed 2,10 Northside Dr Nw,Atlanta,GA,30314
57,All Checks Cashed 6,495 Moreland Ave Se,Atlanta,GA,30316
58,All Checks Cashed 6,495 Moreland Avenue Southeast,Atlanta,GA,30316
59,Alliance Business Leasing,2879 North Druid Hills Road Northeast,Atlanta,GA,30329
60,Alliance Merchant Services,Atlanta,Atlanta,GA,30303
61,American Check Cashing,12 Peachtree Street Northwest,Atlanta,GA,30303
62,American Check Cashing,906 Cleveland Avenue,Atlanta,GA,30344
63,American Check Cashing Inc,906 Cleveland Ave,Atlanta,GA,30344
64,American Check Cashing Inc,801 James Jackson Parkway Nortrhwest,Atlanta,GA,30318
65,Atlanta Authorized Paymaster Sales & Service,1075 Robin Lane Northeast,Atlanta,GA,30306
66,Atlanta Cash It Here Inc,2100 Campbellton Rd Sw,Atlanta,GA,30311
67,Atlanta Check Cashers,215 Northwood Drive Northeast,Atlanta,GA,30342
68,Atlanta Check Cashers,215 Northwood Dr Ne,Atlanta,GA,30342
69,Atlanta Check Cashers Inc,2435 Martin Luther Dr,Atlanta,GA,30311
70,Atlanta Check Cashers Inc,3123 Main St,Atlanta,GA,30344
71,Atlanta Check Cashers Inc,6135 Roswell Rd Ne,Atlanta,GA,30328
72,Atlanta Check Cashers Inc,20 Forsyth St Nw,Atlanta,GA,30303
73,Atlanta Check Cashers Inc,4905 Buford Hwy,Atlanta,GA,30341
74,Atlanta Check Cashers Inc,2435 Martin Luther King Jr Dr,Atlanta,GA,30311
75,Best Rates Check Cashing,4881 Old National Hwy,Atlanta,GA,30337
76,Budgetime Cash Advance,400 Galleria Pkwy Se,Atlanta,GA,30339
77,Business Center Etc,Po Box 44372,Atlanta,GA,30336
78,Business Center Etc,3480 Greenbriar Parkway Southwest,Atlanta,GA,30331
79,Business Center Etc Inc,3480 Greenbriar Pkwy Sw,Atlanta,GA,30331
80,Cash America Pawn,126 Cleveland Avenue Southwest,Atlanta,GA,30315
81,Cash America Pawn Regional Office,3850 Jonesboro Road Southeast,Atlanta,GA,30354
82,Cash Depot Inc,569 Joseph E Lowery Blvd,Atlanta,GA,30310
83,Cash Depot Inc,569 Josph E Lwry Boulevard Southwest,Atlanta,GA,30310
84,Cash Mart,3843 Jonesboro Road Southeast,Atlanta,GA,30354
85,Cco Consulting Inc,5600 Buford Hwy Ne,Atlanta,GA,30340
86,Check Cash Plus,221 Cleveland Avenue Southwest,Atlanta,GA,30315
87,Check Cashers Inc,486 Decatur St Se Ste 4,Atlanta,GA,30312
88,Check Cashers Inc No 1,486 Decatur Street Southeast Suite 4,Atlanta,GA,30312
89,Check Cashing,6776 Highway 85,Atlanta,GA,30303
90,Check Cashing Protection Systems,5775 Peachtre Dnwdy Road Northeast,Atlanta,GA,30342
91,Checks Cashed,3461 Roosevelt Highway,Atlanta,GA,30349
92,Checks No Problem,335 Cascade Rise Court Southwest,Atlanta,GA,30331
93,Clayton County Investigator,Atlanta,Atlanta,GA,30303
94,Commission Express,5784 Lake Forrest Dr Nw Ste 23,Atlanta,GA,30328
95,Community Fincl Svc Ctr Corp,585 Memorial Dr Se,Atlanta,GA,30312
96,County Bank Of Rehoboth Beach De Dba Xtra Cash,Atlanta,Atlanta,GA,30303
97,Discount Check Cashers,3208 Mrtn Lthr Kng Jr Drive,Atlanta,GA,30311
98,Discount Check Cashers,3208 Mlk J,Atlanta,GA,30311
99,Discount Check Cashing,3599 Mrtn Lthr Kng Jr Drive,Atlanta,GA,30331
100,Discount Check Cashing,3599 Mlk J,Atlanta,GA,30331
101,Discount Check Cashing And Gro,3208 Martin Luther King Jr Dr,Atlanta,GA,30311
102,Discount Check Cashing Llc,97 Peachtree Street Southwest,Atlanta,GA,30303
103,Dye Keith,486 Decatur Street Southeast,Atlanta,GA,30312
104,E U Financial Services,20 Broad St Sw,Atlanta,GA,30303
105,El Valu Check Cashing,4949 Buford Hwy,Atlanta,GA,30341
106,El Valu Check Cashing,4949 Buford Highway,Atlanta,GA,30341
107,Electronic Payment Processing,Atlanta,Atlanta,GA,30303
108,Envios Azteca,5750 Buford Highway Northeast,Atlanta,GA,30340
109,Ethio Check Cashing,2151 Godby Road,Atlanta,GA,30349
110,Ethio Check Cashing Inc,2151 Godby Rd Ste 13,Atlanta,GA,30349
111,Friendly Check Cashing,876 Cleveland Avenue,Atlanta,GA,30344
112,Georgia Catalog Sales,945 East Paces Ferry Road Northeast,Atlanta,GA,30326
113,Georgia Catalog Sales,945 East Paces Ferry Road Northeast # B,Atlanta,GA,30326
114,Georgia Catalog Sales 14,945 East Paces Ferry Road Northeast,Atlanta,GA,30326
115,Globalx,270 Peachtree Street Northwest,Atlanta,GA,30303
116,Greenbriar Check Cashiers,2975 Headland Drive Southwest,Atlanta,GA,30311
117,Imm Check Cashers,2975 Headland Dr Sw,Atlanta,GA,30311
118,Interlink Financial Services,233 Mitchell Street Southwest,Atlanta,GA,30303
119,International Check Cashing,5600 Buford Hwy,Atlanta,GA,30340
120,International Check Cashing Services,5193 Pechtre Indstrl Boulevard,Atlanta,GA,30341
121,Joy Financial Services Inc,2609 Shallowford Rd Ne,Atlanta,GA,30345
122,Lakewood Check Cashing,1959 Lakewood Avenue Southeast,Atlanta,GA,30315
123,Lakewood Check Cashing,1959 Lakewood Ave Se,Atlanta,GA,30315
124,Latino Services,1799 Lakewood Ter Se,Atlanta,GA,30315
125,M & G Check Cashing,1292 Donnelly Ave Sw,Atlanta,GA,30310
126,Magic Check Cashing,5195 Old National Hwy,Atlanta,GA,30349
127,Merchant Data Services Inc,3300 Buckeye Road Suite 700,Atlanta,GA,30341
128,Merchant Services,4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338
129,Money Market,8725 Roswell Rd Ste 5,Atlanta,GA,30350
130,Money Market Of Atlanta,209 Edgewood Avenue Southeast,Atlanta,GA,30303
131,Money World,55 Moreland Ave Se,Atlanta,GA,30316
132,Money World No 3 Inc,1195 Wylie St Se,Atlanta,GA,30316
133,Moss Pawn,6382 Old Dixie Highway,Atlanta,GA,30303
134,Mr Payroll,689 Boulevard Ne,Atlanta,GA,30308
135,Myong H Lee Inc,3253 Buford Hwy Ne,Atlanta,GA,30329
136,N Go Cash Inc,5441 Riverdale Rd,Atlanta,GA,30349
137,N R M C Financial Services,1955 Campbellton Rd Sw,Atlanta,GA,30311
138,Nice Check Cashing,1153 Rlph Dvd Abrnthy,Atlanta,GA,30310
139,Nice Check Cashing Inc,4891 Roosevelt Hwy,Atlanta,GA,30349
140,Nice Check Cashing Inc,4891 Roosevelt Highway,Atlanta,GA,30349
141,Nice Check Cashing Inc,5195 Old National Highway,Atlanta,GA,30349
142,Nice Check Cashing Inc,2636 Mrtn Lthr Kng Jr Drive Suite 26,Atlanta,GA,30311
143,Nice Check Cashing Inc,2636 Mrtn Lthr Kng Jr Drive Suite 26,Atlanta,GA,30311
144,Nice Check Cashing Inc,2636 Mlk J,Atlanta,GA,30311
145,Nice Check Cashing Inc,31-B Forsyth St Nw,Atlanta,GA,30303
146,Nice Financial Services,31 Forsyth St Sw,Atlanta,GA,30303
147,Nice Financial Services,1153 Ralph David Abernathy Blv,Atlanta,GA,30310
148,Nice Financial Services,4395 Fulton Industrial Blvd Sw,Atlanta,GA,30336
149,North River Check Cashing,8805 Roswell Rd,Atlanta,GA,30350
150,Now Check Cashing Inc,1352 Lakewood Ave Se,Atlanta,GA,30315
151,P And C Check Cashers,Taco Super Market,Atlanta,GA,30303
152,Paras Check Cashing,5674 Roswell Road Northeast,Atlanta,GA,30342
153,Recheck Corporation,4470 Chamblee Dunwoody Road Suite 255,Atlanta,GA,30338
154,Salandy Associates,2895 Laurel Lane,Atlanta,GA,30344
155,Secondi Inc,1954 Airport Rd Ste 209,Atlanta,GA,30341
156,Security Check,2255 Cumberland Parkway Southeast,Atlanta,GA,30339
157,Super Check Cash,3330 Buford Hwy Ne,Atlanta,GA,30329
158,Taco Market,3304 Buford Highway Northeast,Atlanta,GA,30329
159,Taurino Store Inc,2726 Shallowford Rd Ne,Atlanta,GA,30341
160,Telecheck,5775 Peachtre Dnwdy Road Northeast,Atlanta,GA,30342
161,Termnet Merchant Services Inc,2030 Powers Ferry Road Southeast Suite 134,Atlanta,GA,30339
162,Tower Beer Wine Spirits,2161 Piedmont Road Northeast,Atlanta,GA,30324
163,Tower Package Store,2161 Piedmont Rd Ne,Atlanta,GA,30324
164,Tower Package Stores,5877 Buford Highway Northeast,Atlanta,GA,30340
165,Trimax Financial,2740 Greenbriar Pkwy Sw Ste B1,Atlanta,GA,30331
166,Twenty Four Hour Check Cashing,2636 Martin Luther Dr,Atlanta,GA,30311
167,Two Guys Package,5420 Pechtre Indstrl Boulevard,Atlanta,GA,30341
168,Universal Check Cashiers,211 Peachtree St Sw,Atlanta,GA,30303
169,Universal Express Inc,3666 Shallowford Rd Ne,Atlanta,GA,30340
170,Xtrabucks,2685 Metropolitan Pkwy Sw,Atlanta,GA,30315
171,Xtrabucks,5855 Buford Hwy Ne,Atlanta,GA,30340
172,Y & T Check Cashing,1391 Moreland Ave Se,Atlanta,GA,30316
173,Your Check Cashing Store,2555 Bolton Road Northwest Suite 7,Atlanta,GA,30318
174,Your Check Cashing Store Inc,2555 Bolton Rd Nw Ste 7,Atlanta,GA,30318
